Class,Label,Latitude,Longitude,B02,B03,B04,B08,NDVI,EVI,SAVI,NDWI
Urban Areas,1,4951185.0,697575.0,662,802,934,2155,0.3952735513110911,1.092128801431127,0.592814371257485,-0.45755833615148944
Urban Areas,1,4951185.0,697585.0,741,854,930,1669,0.284340130819535,1.0915805022156573,0.42642815926139643,-0.3230281411018501
Urban Areas,1,4951185.0,697595.0,684,777,930,1669,0.284340130819535,0.8714622641509434,0.42642815926139643,-0.36467702371216826
Urban Areas,1,4951185.0,697605.0,469,440,708,1911,0.45933562428406033,1.1381267738883634,0.6888719221225424,-0.6256911952360431
Urban Areas,1,4951185.0,697615.0,378,286,708,1911,0.45933562428406033,0.9045112781954887,0.6888719221225424,-0.7396449704141675
Urban Areas,1,4951185.0,697625.0,332,240,610,2808,0.6430661205383077,1.381000251319427,0.9644580956559895,-0.8425196850393424
Forests and semi-natural areas,3,4951185.0,697635.0,407,289,610,2808,0.6430661205383077,1.6083711400556124,0.9644580956559895,-0.8133677752663605
Forests and semi-natural areas,3,4951185.0,697645.0,458,359,1055,3058,0.4869924629224292,0.8410312395028552,0.7303999027592075,-0.7898741586186482
Agricultural Areas,2,4951175.0,697335.0,1039,1408,1757,3278,0.30208540218470104,0.6307539188852949,0.45308310991957107,-0.39906103286384126
Agricultural Areas,2,4951175.0,697345.0,906,1311,1661,3150,0.30949906464351884,0.5888168301170515,0.4642003533201704,-0.4122394082044292
Agricultural Areas,2,4951175.0,697355.0,894,1282,1661,3150,0.30949906464351884,0.5805520898315658,0.4642003533201704,-0.42148014440432263
Agricultural Areas,2,4951175.0,697365.0,761,1225,1511,2870,0.31020314996575415,0.5453888755116783,0.4652516261554262,-0.4017094017093919
Agricultural Areas,2,4951175.0,697375.0,843,1340,1511,2870,0.31020314996575415,0.6051295752070531,0.4652516261554262,-0.36342042755343557
Agricultural Areas,2,4951175.0,697385.0,1055,1636,1647,3070,0.3016747933008204,0.7057831564328936,0.4524642289348172,-0.3047173820654419
Agricultural Areas,2,4951175.0,697395.0,1031,1483,1647,3070,0.3016747933008204,0.6814481371516138,0.4524642289348172,-0.3485613880957534
Agricultural Areas,2,4951175.0,697405.0,651,808,1213,2611,0.36558577405856785,0.6979530703944083,0.5483069682311413,-0.5273471775372762
Urban Areas,1,4951175.0,697415.0,869,930,1213,2611,0.36558577405856785,1.0363232023721276,0.5483069682311413,-0.47472465405251413
Urban Areas,1,4951175.0,697425.0,1039,1458,1752,2963,0.2568398727465481,0.5326823260314947,0.38521895875304846,-0.3404207192942696
Agricultural Areas,2,4951175.0,697435.0,978,1504,1752,2963,0.2568398727465481,0.49299788308093145,0.38521895875304846,-0.3266174166106934
Agricultural Areas,2,4951175.0,697445.0,988,1473,1680,3335,0.3300099700897242,0.6888944388944389,0.49496560661947964,-0.38727121464225484
Agricultural Areas,2,4951175.0,697455.0,895,1292,1680,3335,0.3300099700897242,0.6172148877452077,0.49496560661947964,-0.44153879403500235
Agricultural Areas,2,4951175.0,697465.0,756,995,1322,3617,0.4646689613281947,0.9757653061224489,0.6969328879441239,-0.5685169124024161
Forests and semi-natural areas,3,4951175.0,697475.0,616,672,1322,3617,0.4646689613281947,0.827922077922078,0.6969328879441239,-0.6866402424807487
Forests and semi-natural areas,3,4951175.0,697485.0,533,412,1005,3539,0.557658450704213,1.1368326603858232,0.8363956430850479,-0.7914452037458671
Forests and semi-natural areas,3,4951175.0,697495.0,455,305,1005,3539,0.557658450704213,1.028826634185952,0.8363956430850479,-0.8413111342351498
Forests and semi-natural areas,3,4951175.0,697505.0,369,244,698,3624,0.6770013882461666,1.4498067584976713,1.0153846153846153,-0.8738366080661615
Forests and semi-natural areas,3,4951175.0,697515.0,390,248,698,3624,0.6770013882461666,1.4965220949263502,1.0153846153846153,-0.8719008264462584
Forests and semi-natural areas,3,4951175.0,697525.0,399,252,582,3724,0.7296795169530718,1.8593916439815363,1.0943921978404738,-0.8732394366196964
Forests and semi-natural areas,3,4951175.0,697535.0,407,238,582,3724,0.7296795169530718,1.886180814023292,1.0943921978404738,-0.8798586572437941
Forests and semi-natural areas,3,4951175.0,697545.0,422,255,584,3677,0.7258859422670564,1.9249439880507841,1.08870116156283,-0.8702950152593878
Forests and semi-natural areas,3,4951175.0,697555.0,481,277,584,3677,0.7258859422670564,2.1632396139320185,1.08870116156283,-0.8598887202832357
Forests and semi-natural areas,3,4951175.0,697565.0,462,303,683,3106,0.6394827131169005,1.6196524064171123,0.9590975062673176,-0.8222352596068987
Forests and semi-natural areas,3,4951175.0,697575.0,498,422,683,3106,0.6394827131169005,1.7456772334293948,0.9590975062673176,-0.7607709750566678
Forests and semi-natural areas,3,4951175.0,697585.0,585,558,646,2333,0.5662974152399944,2.3141289437585733,0.8493035744252392,-0.613974403320629
Forests and semi-natural areas,3,4951175.0,697595.0,499,518,646,2333,0.5662974152399944,1.7092198581560283,0.8493035744252392,-0.6366187302700583
Forests and semi-natural areas,3,4951175.0,697605.0,363,258,548,2735,0.6661590009137781,1.656065424806906,0.9990863407948835,-0.8275977280320472
Forests and semi-natural areas,3,4951175.0,697615.0,386,239,548,2735,0.6661590009137781,1.7473633748801534,0.9990863407948835,-0.8392737054471809
Forests and semi-natural areas,3,4951175.0,697625.0,390,255,525,3369,0.7303543913713217,1.9777468706536856,1.0953909359352934,-0.8592715231787842
